carrier,flight,origin,dest,dep_delay
DL,2219,LGA,MSP,5.0
UA,1224,EWR,MCO,-6.0
EV,3807,EWR,ORF,-4.0
UA,471,EWR,SFO,4.0
DL,1442,EWR,ATL,-4.0
B6,323,JFK,LAX,-7.0
AA,1623,EWR,MIA,0.0
UA,406,EWR,DEN,-5.0
US,2146,LGA,BOS,-10.0
DL,1685,LGA,MCO,-10.0
B6,316,JFK,SYR,-8.0
AA,3,JFK,LAX,-7.0
DL,1947,LGA,ATL,-6.0
B6,2380,EWR,BOS,-5.0
AA,1256,LGA,MIA,-2.0
AA,329,LGA,ORD,-12.0
EV,4304,EWR,MSY,-6.0
EV,4567,EWR,MCI,16.0
EV,4214,EWR,BUF,-2.0
AA,1143,LGA,DFW,-2.0
EV,3848,EWR,CLT,-6.0
B6,1129,JFK,RSW,0.0
AA,300,EWR,DFW,-5.0
B6,127,EWR,MCO,-9.0
UA,566,EWR,IAH,-5.0
DL,1131,LGA,DTW,-11.0
EV,5008,EWR,DTW,-7.0
EV,3264,EWR,BTV,-5.0
AA,1697,JFK,MIA,-2.0
B6,383,JFK,MCO,0.0
B6,1386,JFK,ROC,0.0
B6,1711,JFK,LAS,28.0
DL,781,LGA,ATL,-8.0
B6,1318,JFK,BOS,-8.0
UA,1177,LGA,ORD,-6.0
US,1863,LGA,CLT,-5.0
UA,1622,EWR,ORD,-1.0
DL,2043,JFK,ATL,-1.0
EV,6049,EWR,IAD,2.0
UA,394,EWR,SFO,12.0
UA,1641,EWR,MCO,-4.0
B6,1639,LGA,RSW,-8.0
EV,4434,EWR,MHT,-8.0
US,501,JFK,PHX,-4.0
US,802,EWR,CLT,-4.0
AA,178,JFK,BOS,22.0
B6,505,EWR,FLL,-1.0
US,1972,JFK,CLT,80.0
UA,636,EWR,FLL,-2.0
B6,308,JFK,PWM,-5.0
EV,4552,EWR,GSO,-1.0
DL,2506,LGA,FLL,160.0
UA,1199,EWR,LAX,2.0
US,2181,LGA,DCA,27.0
B6,1401,JFK,FLL,-1.0
EV,4395,EWR,IND,0.0
EV,4629,EWR,CVG,-8.0
DL,1779,LGA,FLL,-2.0
US,1802,JFK,CLT,-4.0
AA,1073,LGA,MIA,-5.0
EV,5813,EWR,RIC,-4.0
AA,117,JFK,LAX,-3.0
UA,537,EWR,PBI,-11.0
UA,1461,EWR,IAH,-1.0
B6,431,LGA,SRQ,16.0
B6,927,EWR,MCO,-13.0
US,686,EWR,PHX,-5.0
AA,1151,LGA,DFW,-8.0
B6,213,JFK,LGB,-5.0
DL,2247,LGA,ATL,-6.0
EV,4171,EWR,MSN,-4.0
EV,4087,EWR,GRR,-4.0
UA,1583,EWR,SFO,1.0
B6,118,JFK,BOS,-2.0
B6,1373,JFK,CHS,-10.0
UA,1232,EWR,IAH,-3.0
UA,1493,EWR,LAX,-5.0
AA,1170,LGA,STL,-5.0
AA,337,LGA,ORD,-8.0
UA,998,EWR,PHX,-1.0
UA,1420,EWR,MCO,4.0
AA,320,EWR,DFW,-6.0
B6,477,JFK,JAX,-10.0
DL,1705,LGA,MSY,-5.0
EV,5712,JFK,IAD,-6.0
EV,4633,EWR,BTV,-7.0
B6,561,LGA,PBI,5.0
B6,301,JFK,FLL,-4.0
EV,4148,EWR,ATL,-4.0
DL,1819,LGA,MSP,-1.0
B6,575,JFK,MSY,-8.0
B6,286,JFK,ROC,-9.0
EV,4181,EWR,MCI,-4.0
UA,1298,EWR,CLE,-4.0
B6,325,JFK,TPA,-4.0
UA,207,LGA,IAH,-6.0
DL,355,EWR,ATL,104.0
UA,1205,EWR,SFO,2.0
B6,1171,LGA,FLL,-1.0
EV,4175,EWR,AVL,0.0
US,1958,LGA,CLT,-4.0
US,2152,LGA,BOS,-13.0
DL,1,JFK,SJU,-4.0
UA,395,EWR,FLL,5.0
DL,1164,JFK,BOS,-2.0
EV,6054,EWR,IAD,-1.0
DL,1773,JFK,LAS,-6.0
UA,587,EWR,MIA,6.0
DL,2347,LGA,ATL,-6.0
UA,685,LGA,ORD,-4.0
US,1834,EWR,CLT,-4.0
B6,703,JFK,SJU,1.0
EV,5713,LGA,IAD,18.0
UA,841,JFK,LAX,3.0
AA,2297,LGA,MIA,-2.0
DL,419,JFK,SEA,-1.0
AA,2285,JFK,MCO,-1.0
DL,2181,LGA,MCO,-4.0
AA,145,JFK,MIA,-3.0
EV,4381,EWR,DTW,-4.0
EV,4368,EWR,DAY,-7.0
UA,1600,EWR,LAX,10.0
AA,341,LGA,ORD,-6.0
UA,1171,LGA,DEN,11.0
EV,4502,EWR,BNA,-3.0
UA,1270,EWR,MCO,18.0
B6,573,EWR,TPA,-10.0
EV,4572,EWR,GSP,0.0
UA,210,EWR,TPA,6.0
UA,1200,EWR,SAN,13.0
AA,95,JFK,SJU,13.0
UA,1289,EWR,SFO,2.0
EV,5803,EWR,PIT,-4.0
DL,424,JFK,LAX,-4.0
AA,133,JFK,LAX,-4.0
UA,708,EWR,ORD,2.0
AA,85,JFK,SFO,-1.0
DL,1942,EWR,ATL,2.0
US,2088,LGA,CLT,-9.0
B6,83,JFK,MCO,6.0
UA,527,EWR,CLE,0.0
AA,256,JFK,BOS,-2.0
EV,4412,EWR,CLT,14.0
B6,305,EWR,FLL,-15.0
UA,485,EWR,DEN,14.0
EV,4532,EWR,CHS,29.0
EV,4537,EWR,MEM,-10.0
AA,1156,LGA,DFW,-10.0
B6,1117,LGA,TPA,-10.0
DL,467,JFK,SLC,-6.0
UA,1587,EWR,RSW,3.0
DL,847,LGA,ATL,-7.0
UA,1695,EWR,IAH,11.0
DL,2459,JFK,MCO,-6.0
EV,4352,EWR,CVG,-14.0
DL,1982,LGA,MIA,-3.0
UA,1554,EWR,ORD,-1.0
DL,409,JFK,SFO,1.0
DL,1619,LGA,MSP,-8.0
AA,2488,EWR,DFW,-7.0
EV,4393,EWR,IND,8.0
EV,5484,LGA,BNA,-14.0
EV,4580,EWR,MKE,8.0
AA,1410,LGA,MIA,-12.0
B6,753,JFK,PBI,2.0
DL,2231,LGA,DTW,-6.0
UA,1242,EWR,FLL,5.0
DL,1935,LGA,TPA,-5.0
B6,1729,JFK,RSW,44.0
US,516,EWR,PHX,-10.0
AA,172,EWR,MIA,0.0
EV,4702,EWR,GSO,-9.0
US,629,JFK,PHX,-7.0
EV,3827,EWR,SAV,-1.0
AA,181,JFK,LAX,-4.0
UA,257,JFK,SFO,57.0
UA,375,EWR,LAX,-3.0
EV,4284,EWR,OMA,23.0
B6,283,JFK,MCO,-1.0
DL,1394,JFK,PDX,-2.0
UA,1178,EWR,IAH,-1.0
UA,624,EWR,MIA,199.0
B6,423,JFK,LAX,-6.0
B6,2302,JFK,BUF,2.0
DL,2280,JFK,FLL,43.0
UA,1593,EWR,MCO,4.0
DL,1373,JFK,MIA,8.0
UA,1284,EWR,SFO,1.0
EV,5513,LGA,RIC,-19.0
EV,4204,EWR,OKC,2.0
AA,65,JFK,DFW,30.0
B6,918,JFK,BOS,-4.0
EV,4705,EWR,ATL,5.0
EV,5837,EWR,ROC,3.0
DL,1585,LGA,MCO,-2.0
DL,1854,LGA,FLL,-2.0
EV,4328,EWR,MSY,-5.0
EV,6181,EWR,IAD,-5.0
UA,512,JFK,SFO,-9.0
B6,2580,EWR,BOS,-15.0
DL,706,JFK,AUS,-8.0
AA,45,JFK,LAS,-7.0
B6,1734,JFK,BTV,-7.0
AA,199,JFK,ORD,-5.0
US,894,LGA,CLT,-8.0
AA,211,JFK,IAH,-4.0
B6,167,JFK,OAK,-2.0
UA,635,EWR,ORD,0.0
B6,89,JFK,SAN,11.0
B6,1119,JFK,CLT,-9.0
UA,551,EWR,BOS,-6.0
EV,4202,EWR,STL,-4.0
EV,4121,EWR,RDU,-7.0
DL,1902,LGA,PBI,-6.0
AA,291,JFK,AUS,-6.0
AA,345,LGA,ORD,1.0
B6,415,JFK,SFO,-5.0
UA,1109,EWR,MCO,-7.0
UA,1712,EWR,IAH,-2.0
US,687,EWR,CLT,-7.0
EV,4421,EWR,ORF,5.0
B6,1185,JFK,RDU,-2.0
B6,359,JFK,BUR,-1.0
B6,135,JFK,PHX,-8.0
EV,4113,EWR,IND,-5.0
UA,866,EWR,LAS,7.0
AA,2351,JFK,MIA,2.0
AA,67,JFK,SAN,-2.0
EV,4191,EWR,BNA,-6.0
EV,4201,EWR,DAY,-18.0
UA,418,EWR,SFO,13.0
AA,1185,LGA,DFW,-9.0
B6,1105,JFK,ORD,108.0
UA,535,JFK,LAX,-6.0
DL,2147,LGA,ATL,-4.0
UA,1481,EWR,PHX,-6.0
UA,1022,EWR,SAN,0.0
UA,523,EWR,BOS,-8.0
B6,299,LGA,MCO,4.0
DL,2019,LGA,MSP,-6.0
AA,1611,LGA,MIA,-7.0
UA,1637,EWR,TPA,7.0
DL,926,EWR,ATL,14.0
DL,1518,EWR,DTW,78.0
EV,4131,EWR,RIC,-8.0
DL,413,JFK,MIA,-7.0
EV,3811,EWR,BUF,-5.0
UA,390,EWR,RSW,-6.0
US,1751,EWR,CLT,-5.0
B6,669,JFK,SJC,-6.0
B6,183,JFK,MCO,-6.0
B6,201,JFK,FLL,-4.0
DL,415,JFK,DTW,-3.0
US,425,JFK,CLT,-3.0
B6,2202,JFK,BUF,-10.0
UA,1075,EWR,SNA,11.0
DL,87,JFK,ATL,8.0
DL,843,JFK,ATL,138.0
UA,1615,EWR,AUS,-2.0
DL,1576,JFK,SAN,7.0
DL,442,JFK,SEA,9.0
AA,359,LGA,ORD,-15.0
B6,263,JFK,SEA,-8.0
DL,2391,JFK,TPA,-4.0
US,2097,LGA,CLT,-11.0
UA,1047,EWR,DEN,-1.0
AA,119,EWR,LAX,-2.0
DL,426,JFK,LAX,36.0
B6,543,EWR,PBI,-4.0
UA,469,EWR,MIA,5.0
DL,245,JFK,PHX,-3.0
DL,434,JFK,SFO,-1.0
B6,711,JFK,LAS,1.0
B6,327,EWR,MCO,86.0
AA,21,JFK,LAX,-6.0
UA,1296,EWR,SFO,10.0
DL,2159,JFK,MCO,-5.0
EV,5769,LGA,IAD,-13.0
B6,71,JFK,SLC,-1.0
EV,4370,EWR,CHS,-10.0
EV,4543,EWR,DSM,-10.0
UA,1111,EWR,LAS,8.0
AA,235,JFK,SEA,-7.0
DL,1091,JFK,SAT,-7.0
B6,803,JFK,SJU,-8.0
DL,1768,JFK,SLC,-6.0
B6,1161,LGA,PBI,178.0
UA,1416,EWR,FLL,37.0
UA,1526,EWR,LAX,0.0
UA,1692,EWR,MCO,8.0
B6,225,JFK,TPA,14.0
EV,5714,JFK,IAD,20.0
DL,1729,JFK,LAS,22.0
DL,2454,JFK,DEN,-3.0
B6,1201,JFK,FLL,-10.0
DL,2065,JFK,FLL,-5.0
UA,1482,EWR,BOS,-2.0
UA,1631,EWR,IAH,-3.0
B6,883,JFK,MCO,-3.0
DL,347,JFK,SJU,38.0
B6,65,JFK,ABQ,3.0
B6,418,JFK,BOS,-9.0
B6,915,JFK,SFO,-8.0
B6,153,JFK,PBI,0.0
DL,427,JFK,LAX,14.0
AA,2314,JFK,BOS,5.0
B6,523,JFK,LAX,-6.0
B6,1205,JFK,PDX,-4.0
B6,1295,JFK,AUS,-8.0
UA,1409,EWR,TPA,-1.0
EV,4377,EWR,JAX,-8.0
B6,499,LGA,MCO,-8.0
UA,1071,EWR,BQN,5.0
EV,4700,EWR,CLT,-10.0
EV,4348,EWR,CLE,9.0
B6,1371,LGA,FLL,-10.0
B6,97,JFK,DEN,-7.0
B6,1677,JFK,JAX,26.0
B6,702,JFK,BUF,-3.0
B6,527,EWR,MCO,7.0
B6,1271,LGA,FLL,125.0
EV,4361,EWR,TYS,138.0
UA,1066,EWR,BOS,-5.0
EV,4194,EWR,ALB,-8.0
B6,234,JFK,BTV,-5.0
B6,486,JFK,ROC,-2.0
AA,185,JFK,LAX,50.0
DL,985,JFK,BOS,106.0
B6,2002,JFK,BUF,-9.0
B6,108,JFK,PWM,-1.0
B6,718,JFK,BOS,1.0
B6,1816,JFK,SYR,20.0
B6,1503,JFK,SJU,-10.0
B6,745,JFK,PSE,-3.0
B6,839,JFK,BQN,0.0
UA,360,EWR,PBI,
US,1946,EWR,CLT,
US,2142,LGA,BOS,
